epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,692.473,0.54157,0.4364,0.01227,0.96245,0.96649,0.97661,0.82954,0.69387,0.32139,0.02297,0.00100935,0.00100935,0.00100935
57,704.621,0.55571,0.4091,0.01286,0.9797,0.93811,0.97522,0.83131,0.69986,0.34933,0.024,0.000995756,0.000995756,0.000995756
58,716.805,0.53431,0.41585,0.0116,0.95632,0.94383,0.97214,0.83051,0.68009,0.38507,0.02401,0.00098204,0.00098204,0.00098204
59,728.981,0.56628,0.41504,0.0121,0.95766,0.93881,0.97654,0.84317,0.59645,0.39385,0.01998,0.000968209,0.000968209,0.000968209
60,741.154,0.52944,0.41166,0.01147,0.97055,0.92796,0.97915,0.84861,0.6098,0.38605,0.01995,0.00095427,0.00095427,0.00095427
61,753.322,0.508,0.40693,0.01103,0.94804,0.97388,0.97629,0.84063,0.64239,0.34064,0.02173,0.00094023,0.00094023,0.00094023
62,765.515,0.52997,0.40039,0.0112,0.91161,0.92735,0.96238,0.83248,0.63357,0.4603,0.02113,0.000926093,0.000926093,0.000926093
63,777.696,0.5178,0.41876,0.01107,0.95201,0.95714,0.97709,0.85071,0.64215,0.36629,0.02157,0.000911867,0.000911867,0.000911867
64,789.85,0.50303,0.37892,0.01083,0.96073,0.95035,0.97175,0.83236,0.64018,0.35561,0.02115,0.000897557,0.000897557,0.000897557
65,802,0.51473,0.39392,0.01101,0.93171,0.94066,0.97836,0.85473,0.61038,0.34791,0.01981,0.00088317,0.00088317,0.00088317
66,814.196,0.51688,0.38786,0.01117,0.95558,0.97791,0.97883,0.85496,0.60178,0.33502,0.02004,0.000868712,0.000868712,0.000868712
67,826.321,0.5064,0.40265,0.01069,0.97944,0.94733,0.98514,0.85799,0.63024,0.3035,0.02109,0.00085419,0.00085419,0.00085419
68,838.5,0.50593,0.36767,0.0109,0.9782,0.95673,0.98268,0.86429,0.61541,0.30217,0.02038,0.00083961,0.00083961,0.00083961
69,850.67,0.49204,0.34528,0.01039,0.98153,0.96384,0.98335,0.85579,0.64602,0.32777,0.02162,0.000824978,0.000824978,0.000824978
70,862.809,0.4847,0.36568,0.01045,0.97485,0.9564,0.97713,0.86189,0.59682,0.33324,0.02017,0.0008103,0.0008103,0.0008103
71,875.028,0.48666,0.33997,0.01046,0.95088,0.97855,0.98149,0.86606,0.59628,0.32735,0.01987,0.000795584,0.000795584,0.000795584
72,887.187,0.48228,0.36319,0.01025,0.97934,0.92384,0.97993,0.85567,0.59508,0.32795,0.01902,0.000780835,0.000780835,0.000780835
73,899.34,0.49499,0.38121,0.01039,0.96313,0.95648,0.98226,0.85573,0.61686,0.33701,0.0208,0.00076606,0.00076606,0.00076606
74,911.566,0.47056,0.33885,0.00975,0.95892,0.95486,0.97452,0.8639,0.57361,0.35618,0.01868,0.000751266,0.000751266,0.000751266
75,923.727,0.46994,0.34275,0.01024,0.97544,0.95153,0.97975,0.86353,0.62141,0.31115,0.0211,0.000736459,0.000736459,0.000736459
76,935.877,0.47595,0.34988,0.01003,0.97283,0.96163,0.9811,0.8604,0.58617,0.31861,0.01935,0.000721645,0.000721645,0.000721645
77,948.117,0.46828,0.36217,0.00997,0.95116,0.96404,0.98398,0.86425,0.58166,0.30564,0.01949,0.000706831,0.000706831,0.000706831
78,960.261,0.45846,0.33907,0.0097,0.97139,0.97129,0.98265,0.87684,0.55738,0.26297,0.01868,0.000692024,0.000692024,0.000692024
79,972.486,0.46567,0.33978,0.00986,0.98432,0.96816,0.98246,0.86396,0.61185,0.28721,0.02062,0.00067723,0.00067723,0.00067723
80,984.735,0.45737,0.32858,0.00961,0.96663,0.97054,0.98159,0.85094,0.6259,0.33451,0.02069,0.000662455,0.000662455,0.000662455
81,996.911,0.45041,0.32156,0.00945,0.9689,0.95845,0.98139,0.86776,0.58136,0.33428,0.01958,0.000647706,0.000647706,0.000647706
82,1009.05,0.4427,0.31421,0.00931,0.97271,0.97618,0.98193,0.86729,0.60882,0.3086,0.02092,0.00063299,0.00063299,0.00063299
83,1021.25,0.44515,0.32055,0.00932,0.97674,0.98347,0.98377,0.87536,0.5547,0.2935,0.01841,0.000618312,0.000618312,0.000618312
84,1033.42,0.43981,0.31451,0.00952,0.94089,0.97905,0.98225,0.87026,0.59964,0.31107,0.02024,0.00060368,0.00060368,0.00060368
85,1045.6,0.45317,0.31764,0.00948,0.98318,0.97541,0.9811,0.86717,0.57548,0.34017,0.01924,0.0005891,0.0005891,0.0005891
86,1057.77,0.43864,0.31571,0.00908,0.97172,0.97619,0.98226,0.87238,0.60357,0.30901,0.02077,0.000574578,0.000574578,0.000574578
87,1069.97,0.43744,0.31476,0.00916,0.96945,0.96296,0.98192,0.86862,0.58629,0.34724,0.01943,0.00056012,0.00056012,0.00056012
88,1082.09,0.4328,0.31287,0.00918,0.97695,0.9688,0.98097,0.87387,0.57845,0.32506,0.0192,0.000545733,0.000545733,0.000545733
89,1094.25,0.43644,0.31589,0.00916,0.97008,0.97137,0.97972,0.8681,0.59797,0.33218,0.02003,0.000531423,0.000531423,0.000531423
90,1106.41,0.42731,0.2986,0.00893,0.99256,0.9625,0.98351,0.87285,0.59299,0.29748,0.01993,0.000517197,0.000517197,0.000517197
91,1118.53,0.44032,0.33746,0.009,0.96388,0.95962,0.98489,0.8715,0.58494,0.33443,0.01948,0.00050306,0.00050306,0.00050306
92,1130.71,0.42887,0.29924,0.00892,0.96088,0.96764,0.98174,0.86222,0.57714,0.33509,0.01909,0.00048902,0.00048902,0.00048902
93,1142.86,0.41679,0.29481,0.00875,0.97749,0.95842,0.98028,0.87939,0.59596,0.29658,0.01986,0.000475081,0.000475081,0.000475081
94,1155.06,0.41081,0.28473,0.00877,0.99072,0.96649,0.98616,0.88417,0.55922,0.28638,0.01883,0.00046125,0.00046125,0.00046125
95,1167.23,0.4114,0.28037,0.00838,0.97084,0.954,0.98144,0.87993,0.55197,0.3106,0.01825,0.000447534,0.000447534,0.000447534
96,1179.35,0.41855,0.29438,0.00849,0.95553,0.98308,0.98372,0.87711,0.56316,0.29332,0.01904,0.000433938,0.000433938,0.000433938
97,1191.48,0.38719,0.27626,0.00811,0.96836,0.97362,0.9813,0.8779,0.56366,0.29372,0.01894,0.000420468,0.000420468,0.000420468
98,1203.63,0.40514,0.28511,0.00843,0.9871,0.93955,0.9832,0.86199,0.57406,0.32114,0.01872,0.00040713,0.00040713,0.00040713
99,1215.81,0.40321,0.2859,0.00833,0.95304,0.96811,0.978,0.85947,0.60037,0.31004,0.02052,0.00039393,0.00039393,0.00039393
100,1227.95,0.39615,0.31017,0.00837,0.97611,0.96781,0.98057,0.87509,0.56572,0.31858,0.01909,0.000380874,0.000380874,0.000380874
101,1240.14,0.39539,0.27361,0.00828,0.95192,0.96306,0.98129,0.87482,0.57297,0.35992,0.01937,0.000367967,0.000367967,0.000367967
102,1252.32,0.3895,0.27657,0.00795,0.97962,0.95121,0.98338,0.88093,0.59366,0.31556,0.01982,0.000355216,0.000355216,0.000355216
103,1264.47,0.39654,0.26515,0.00797,0.9549,0.97244,0.98253,0.87382,0.58879,0.30518,0.01967,0.000342625,0.000342625,0.000342625
104,1276.7,0.39065,0.25598,0.00775,0.98884,0.96601,0.98519,0.8702,0.58972,0.32032,0.01955,0.000330201,0.000330201,0.000330201
105,1288.81,0.38998,0.2725,0.00795,0.98803,0.97663,0.98616,0.89006,0.55273,0.26055,0.01842,0.000317948,0.000317948,0.000317948
106,1301,0.38728,0.25816,0.00823,0.98435,0.98016,0.98536,0.88272,0.57612,0.24775,0.01944,0.000305872,0.000305872,0.000305872
107,1313.19,0.39307,0.26558,0.00786,0.98604,0.94691,0.98429,0.8783,0.56511,0.27746,0.01875,0.000293979,0.000293979,0.000293979
108,1325.34,0.37913,0.29356,0.00764,0.99053,0.97273,0.98476,0.88419,0.56055,0.25112,0.01888,0.000282273,0.000282273,0.000282273
109,1337.52,0.38708,0.2605,0.00776,0.94616,0.97961,0.98241,0.87827,0.53462,0.30359,0.01785,0.00027076,0.00027076,0.00027076
110,1349.67,0.3801,0.2558,0.00802,0.95817,0.9529,0.98136,0.87045,0.59,0.34391,0.02011,0.000259445,0.000259445,0.000259445
111,1361.83,0.36145,0.24863,0.0074,0.9768,0.96304,0.98438,0.8794,0.55208,0.29102,0.01836,0.000248332,0.000248332,0.000248332
112,1374.03,0.38586,0.26514,0.00847,0.97624,0.96157,0.98407,0.88292,0.55976,0.26883,0.01846,0.000237427,0.000237427,0.000237427
113,1386.18,0.3836,0.25907,0.00822,0.97968,0.92246,0.98017,0.87964,0.55078,0.32574,0.01854,0.000226735,0.000226735,0.000226735
114,1398.34,0.36365,0.24529,0.00749,0.99233,0.94176,0.98176,0.87067,0.56403,0.33063,0.0187,0.000216259,0.000216259,0.000216259
115,1410.49,0.3621,0.24221,0.00731,0.98183,0.9787,0.98079,0.88102,0.55488,0.2988,0.01854,0.000206005,0.000206005,0.000206005
116,1422.68,0.35907,0.23999,0.00711,0.97798,0.96715,0.98349,0.87971,0.54653,0.29436,0.01816,0.000195978,0.000195978,0.000195978
117,1434.81,0.35378,0.25045,0.00719,0.98308,0.96581,0.98006,0.88543,0.5385,0.32706,0.01784,0.000186181,0.000186181,0.000186181
118,1447.01,0.36361,0.26337,0.00746,0.97641,0.97545,0.98053,0.87966,0.54909,0.33131,0.01792,0.000176619,0.000176619,0.000176619
119,1459.22,0.35524,0.24344,0.00715,0.96276,0.96825,0.97867,0.87468,0.54707,0.34668,0.01791,0.000167296,0.000167296,0.000167296
120,1471.32,0.34761,0.23785,0.00711,0.98745,0.96724,0.98362,0.88449,0.5571,0.31486,0.01811,0.000158216,0.000158216,0.000158216
121,1483.5,0.35078,0.24426,0.00701,0.98796,0.96429,0.98452,0.87861,0.57202,0.29363,0.01879,0.000149383,0.000149383,0.000149383
122,1495.64,0.34607,0.2469,0.00701,0.96822,0.97342,0.98349,0.88244,0.54257,0.28813,0.01777,0.000140801,0.000140801,0.000140801
123,1507.79,0.34986,0.23093,0.00711,0.99117,0.95715,0.983,0.88178,0.54862,0.25922,0.01808,0.000132474,0.000132474,0.000132474
124,1520.01,0.35575,0.24265,0.00715,0.97732,0.96236,0.98339,0.88737,0.53183,0.30877,0.01756,0.000124405,0.000124405,0.000124405
125,1532.17,0.35283,0.24536,0.00755,0.95568,0.96811,0.98405,0.88144,0.55437,0.28804,0.01807,0.000116599,0.000116599,0.000116599
126,1544.37,0.33549,0.23303,0.00678,0.99436,0.9524,0.98497,0.88398,0.56559,0.32068,0.01857,0.000109058,0.000109058,0.000109058
127,1556.51,0.34491,0.22612,0.00689,0.98584,0.95698,0.98364,0.8812,0.55579,0.32791,0.01838,0.000101785,0.000101785,0.000101785
128,1568.67,0.36266,0.24207,0.00752,0.96426,0.97471,0.98447,0.88651,0.55553,0.31949,0.01835,9.47845e-05,9.47845e-05,9.47845e-05
129,1580.86,0.34495,0.22214,0.00696,0.98752,0.96501,0.98518,0.88985,0.54172,0.32309,0.01792,8.80588e-05,8.80588e-05,8.80588e-05
130,1593.04,0.33229,0.22491,0.0066,0.97262,0.97499,0.98534,0.89122,0.53151,0.32116,0.01766,8.16111e-05,8.16111e-05,8.16111e-05
131,1605.19,0.33514,0.23105,0.00673,0.97187,0.97619,0.98484,0.88382,0.55451,0.29892,0.01808,7.54441e-05,7.54441e-05,7.54441e-05
132,1617.35,0.3472,0.25881,0.00708,0.98375,0.96441,0.98482,0.88517,0.55273,0.30189,0.01819,6.95605e-05,6.95605e-05,6.95605e-05
133,1629.53,0.33408,0.21824,0.00676,0.97768,0.96565,0.98499,0.88976,0.53096,0.31097,0.01772,6.3963e-05,6.3963e-05,6.3963e-05
134,1641.7,0.34425,0.25338,0.00691,0.98939,0.96367,0.985,0.88485,0.54731,0.30361,0.01795,5.86539e-05,5.86539e-05,5.86539e-05
135,1653.84,0.33481,0.21788,0.00667,0.97061,0.96825,0.98379,0.88816,0.52063,0.34262,0.01747,5.36357e-05,5.36357e-05,5.36357e-05
136,1666.03,0.32633,0.23464,0.0066,0.97602,0.95832,0.9839,0.88875,0.54459,0.33582,0.01826,4.89104e-05,4.89104e-05,4.89104e-05
137,1678.19,0.33065,0.23733,0.00667,0.97291,0.96815,0.9833,0.88369,0.5414,0.32825,0.01779,4.44803e-05,4.44803e-05,4.44803e-05
138,1690.3,0.3284,0.21723,0.00661,0.95612,0.97289,0.9833,0.88483,0.5457,0.31421,0.01794,4.03471e-05,4.03471e-05,4.03471e-05
139,1702.45,0.34181,0.22348,0.00662,0.96421,0.97352,0.98275,0.88719,0.54023,0.31343,0.01787,3.65129e-05,3.65129e-05,3.65129e-05
140,1714.65,0.3257,0.22671,0.00653,0.97689,0.97368,0.98313,0.88228,0.53756,0.33075,0.01768,3.29791e-05,3.29791e-05,3.29791e-05
141,1727.13,0.39402,0.18416,0.0121,0.96808,0.97881,0.98132,0.87295,0.59329,0.2907,0.01989,2.97474e-05,2.97474e-05,2.97474e-05
142,1738.94,0.37579,0.16048,0.01121,0.96503,0.9814,0.98059,0.86948,0.59724,0.2805,0.01993,2.68192e-05,2.68192e-05,2.68192e-05
143,1750.78,0.35416,0.14977,0.01073,0.95884,0.98258,0.9801,0.87167,0.57784,0.27802,0.01946,2.41958e-05,2.41958e-05,2.41958e-05
144,1762.65,0.35443,0.14358,0.01044,0.9657,0.98232,0.98165,0.8735,0.57805,0.26553,0.01945,2.18783e-05,2.18783e-05,2.18783e-05
145,1774.49,0.35177,0.1592,0.01074,0.95866,0.98052,0.98102,0.87476,0.56461,0.27049,0.01906,1.98677e-05,1.98677e-05,1.98677e-05
146,1786.36,0.343,0.14007,0.00994,0.97022,0.97016,0.98194,0.87717,0.56362,0.26877,0.01898,1.8165e-05,1.8165e-05,1.8165e-05
147,1798.22,0.34071,0.14423,0.00989,0.96434,0.97844,0.98249,0.87725,0.56055,0.2662,0.01887,1.67708e-05,1.67708e-05,1.67708e-05
148,1810.07,0.33472,0.14364,0.00957,0.96986,0.97278,0.98141,0.87977,0.55041,0.28989,0.01865,1.56858e-05,1.56858e-05,1.56858e-05
149,1821.91,0.33451,0.13356,0.00963,0.9647,0.97178,0.98249,0.88017,0.55648,0.28744,0.01882,1.49105e-05,1.49105e-05,1.49105e-05
150,1833.73,0.32261,0.13624,0.00934,0.97414,0.96164,0.98263,0.87933,0.55279,0.29196,0.01864,1.44451e-05,1.44451e-05,1.44451e-05
